,Unnamed: 0,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,visibility,icon,summary,time,month
0,0,2017-10-01 00:00:00,0.0,26.52,26,1,19.46,308.0,0.83,4.2453,1007.9,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.57,clear-night,Clear,0,10
1,1,2017-10-01 01:00:00,0.0,28.78,27,1,20.06,188.78692913385828,2.638889665346689,4.2453,1008.01,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.06,fog,Foggy,1,10
2,2,2017-10-01 02:00:00,0.0,26.58,26,1,19.97,188.78692913385828,2.638889665346689,4.2453,1008.01,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.06,fog,Foggy,2,10
3,3,2017-10-01 03:00:00,0.0,23.84,23,1,18.66,270.0,0.45,4.2453,1008.12,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.56,clear-night,Clear,3,10
4,4,2017-10-01 04:00:00,0.0,24.13,24,1,17.84,188.78692913385828,2.638889665346689,4.2453,1008.385,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.06,fog,Foggy,4,10
5,5,2017-10-01 05:00:00,0.0,24.13,24,1,17.84,188.78692913385828,2.638889665346689,4.2453,1008.385,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.06,fog,Foggy,5,10
6,6,2017-10-01 06:00:00,0.0,21.87,22,1,17.45,188.78692913385828,2.638889665346689,4.2453,1008.65,0.0,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.56,clear-night,Clear,6,10
7,7,2017-10-01 07:00:00,0.0,25.23,25,1,17.71,188.78692913385828,2.638889665346689,4.2453,1009.3,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.06,fog,Foggy,7,10
8,8,2017-10-01 08:00:00,0.0,24.29,24,1,18.94,188.78692913385828,2.638889665346689,4.2453,1009.3,1.023201856148492,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.3,clear-day,Clear,8,10
9,9,2017-10-01 09:00:00,0.0,26.56,26,1,17.33,237.0,0.6,4.2453,1009.95,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.85,clear-day,Clear,9,10
10,10,2017-10-01 10:00:00,0.0,32.03,31,0,18.09,281.0,2.63,4.2453,1009.245,4.730858468677495,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.54,clear-day,Clear,10,10
11,11,2017-10-01 11:00:00,0.0,33.31,32,0,17.72,278.0,3.73,4.2453,1009.245,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.78,clear-day,Clear,11,10
